"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent of People Who Drove to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","061010504022","CA","061010504022","=""061010504022""","92.20","2019-2023","2022","Census","California (State)"
"Block Group","061010504023","CA","061010504023","=""061010504023""","87.20","2019-2023","2022","Census","California (State)"
"Block Group","061010504031","CA","061010504031","=""061010504031""","89.15","2019-2023","2022","Census","California (State)"
"Block Group","061010504032","CA","061010504032","=""061010504032""","87.96","2019-2023","2022","Census","California (State)"
"Block Group","061010505011","CA","061010505011","=""061010505011""","87.25","2019-2023","2022","Census","California (State)"
"Block Group","061010505012","CA","061010505012","=""061010505012""","94.24","2019-2023","2022","Census","California (State)"
"Block Group","061010505013","CA","061010505013","=""061010505013""","94.23","2019-2023","2022","Census","California (State)"
"Block Group","061010505014","CA","061010505014","=""061010505014""","100.00","2019-2023","2022","Census","California (State)"
"Block Group","061010505015","CA","061010505015","=""061010505015""","91.30","2019-2023","2022","Census","California (State)"
"Block Group","061010505031","CA","061010505031","=""061010505031""","94.07","2019-2023","2022","Census","California (State)"
"Block Group","061010505032","CA","061010505032","=""061010505032""","96.49","2019-2023","2022","Census","California (State)"
"Block Group","061010505033","CA","061010505033","=""061010505033""","83.44","2019-2023","2022","Census","California (State)"
"Block Group","061010505034","CA","061010505034","=""061010505034""","99.51","2019-2023","2022","Census","California (State)"
"Block Group","061010505035","CA","061010505035","=""061010505035""","86.42","2019-2023","2022","Census","California (State)"
"Block Group","061010505041","CA","061010505041","=""061010505041""","92.05","2019-2023","2022","Census","California (State)"
"Block Group","061010505042","CA","061010505042","=""061010505042""","90.78","2019-2023","2022","Census","California (State)"
"Block Group","061010505043","CA","061010505043","=""061010505043""","90.27","2019-2023","2022","Census","California (State)"
"Block Group","061010505044","CA","061010505044","=""061010505044""","93.43","2019-2023","2022","Census","California (State)"
"Block Group","061010505045","CA","061010505045","=""061010505045""","98.26","2019-2023","2022","Census","California (State)"
"Block Group","061010506011","CA","061010506011","=""061010506011""","75.03","2019-2023","2022","Census","California (State)"
"Block Group","061010506012","CA","061010506012","=""061010506012""","80.59","2019-2023","2022","Census","California (State)"
"Block Group","061010506013","CA","061010506013","=""061010506013""","94.93","2019-2023","2022","Census","California (State)"
"Block Group","061010506014","CA","061010506014","=""061010506014""","93.88","2019-2023","2022","Census","California (State)"
"Block Group","061010506031","CA","061010506031","=""061010506031""","88.81","2019-2023","2022","Census","California (State)"
