"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Block Group","060910100004","CA","060910100004","=""060910100004""","1.45","2019-2023","2022","Census","California (State)"
"Block Group","060910100005","CA","060910100005","=""060910100005""","3.19","2019-2023","2022","Census","California (State)"
"Block Group","060930001001","CA","060930001001","=""060930001001""","3.31","2019-2023","2022","Census","California (State)"
"Block Group","060930002001","CA","060930002001","=""060930002001""","5.71","2019-2023","2022","Census","California (State)"
"Block Group","060930002002","CA","060930002002","=""060930002002""","2.11","2019-2023","2022","Census","California (State)"
"Block Group","060930003001","CA","060930003001","=""060930003001""","6.81","2019-2023","2022","Census","California (State)"
"Block Group","060930003002","CA","060930003002","=""060930003002""","23.83","2019-2023","2022","Census","California (State)"
"Block Group","060930003003","CA","060930003003","=""060930003003""","5.43","2019-2023","2022","Census","California (State)"
"Block Group","060930006001","CA","060930006001","=""060930006001""","1022.80","2019-2023","2022","Census","California (State)"
"Block Group","060930006002","CA","060930006002","=""060930006002""","4.58","2019-2023","2022","Census","California (State)"
"Block Group","060930007011","CA","060930007011","=""060930007011""","31.76","2019-2023","2022","Census","California (State)"
"Block Group","060930007012","CA","060930007012","=""060930007012""","7.84","2019-2023","2022","Census","California (State)"
"Block Group","060930007013","CA","060930007013","=""060930007013""","21.52","2019-2023","2022","Census","California (State)"
"Block Group","060930007014","CA","060930007014","=""060930007014""","10.49","2019-2023","2022","Census","California (State)"
"Block Group","060930007021","CA","060930007021","=""060930007021""","1404.21","2019-2023","2022","Census","California (State)"
"Block Group","060930007022","CA","060930007022","=""060930007022""","311.78","2019-2023","2022","Census","California (State)"
"Block Group","060930007023","CA","060930007023","=""060930007023""","125.11","2019-2023","2022","Census","California (State)"
"Block Group","060930007031","CA","060930007031","=""060930007031""","4645.54","2019-2023","2022","Census","California (State)"
"Block Group","060930007032","CA","060930007032","=""060930007032""","5018.42","2019-2023","2022","Census","California (State)"
"Block Group","060930007033","CA","060930007033","=""060930007033""","1037.07","2019-2023","2022","Census","California (State)"
"Block Group","060930008001","CA","060930008001","=""060930008001""","1213.68","2019-2023","2022","Census","California (State)"
"Block Group","060930008002","CA","060930008002","=""060930008002""","0.90","2019-2023","2022","Census","California (State)"
"Block Group","060930008003","CA","060930008003","=""060930008003""","3.77","2019-2023","2022","Census","California (State)"
"Block Group","060930008004","CA","060930008004","=""060930008004""","5.42","2019-2023","2022","Census","California (State)"
"Block Group","060930009011","CA","060930009011","=""060930009011""","204.21","2019-2023","2022","Census","California (State)"
