"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Per Capita Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","apci","TimeFrame","GeoVintage","Source","Location"
"Block Group","060670076042","CA","060670076042","=""060670076042""","35508","2019-2023","2022","Census","California (State)"
"Block Group","060670077011","CA","060670077011","=""060670077011""","30612","2019-2023","2022","Census","California (State)"
"Block Group","060670077012","CA","060670077012","=""060670077012""","33004","2019-2023","2022","Census","California (State)"
"Block Group","060670077013","CA","060670077013","=""060670077013""","28705","2019-2023","2022","Census","California (State)"
"Block Group","060670077014","CA","060670077014","=""060670077014""","41046","2019-2023","2022","Census","California (State)"
"Block Group","060670077015","CA","060670077015","=""060670077015""","27519","2019-2023","2022","Census","California (State)"
"Block Group","060670077021","CA","060670077021","=""060670077021""","64839","2019-2023","2022","Census","California (State)"
"Block Group","060670077022","CA","060670077022","=""060670077022""","40331","2019-2023","2022","Census","California (State)"
"Block Group","060670077023","CA","060670077023","=""060670077023""","94164","2019-2023","2022","Census","California (State)"
"Block Group","060670078011","CA","060670078011","=""060670078011""","45364","2019-2023","2022","Census","California (State)"
"Block Group","060670078012","CA","060670078012","=""060670078012""","41485","2019-2023","2022","Census","California (State)"
"Block Group","060670078013","CA","060670078013","=""060670078013""","46308","2019-2023","2022","Census","California (State)"
"Block Group","060670078014","CA","060670078014","=""060670078014""","59836","2019-2023","2022","Census","California (State)"
"Block Group","060670078021","CA","060670078021","=""060670078021""","54626","2019-2023","2022","Census","California (State)"
"Block Group","060670078022","CA","060670078022","=""060670078022""","43006","2019-2023","2022","Census","California (State)"
"Block Group","060670078023","CA","060670078023","=""060670078023""","33382","2019-2023","2022","Census","California (State)"
"Block Group","060670078024","CA","060670078024","=""060670078024""","127182","2019-2023","2022","Census","California (State)"
"Block Group","060670079031","CA","060670079031","=""060670079031""","56722","2019-2023","2022","Census","California (State)"
"Block Group","060670079032","CA","060670079032","=""060670079032""","45326","2019-2023","2022","Census","California (State)"
"Block Group","060670079033","CA","060670079033","=""060670079033""","43263","2019-2023","2022","Census","California (State)"
"Block Group","060670079034","CA","060670079034","=""060670079034""","40303","2019-2023","2022","Census","California (State)"
"Block Group","060670079035","CA","060670079035","=""060670079035""","49527","2019-2023","2022","Census","California (State)"
"Block Group","060670079041","CA","060670079041","=""060670079041""","35585","2019-2023","2022","Census","California (State)"
"Block Group","060670079042","CA","060670079042","=""060670079042""","40667","2019-2023","2022","Census","California (State)"
"Block Group","060670079043","CA","060670079043","=""060670079043""","47816","2019-2023","2022","Census","California (State)"
"Block Group","060670079044","CA","060670079044","=""060670079044""","33711","2019-2023","2022","Census","California (State)"
"Block Group","060670079051","CA","060670079051","=""060670079051""","44152","2019-2023","2022","Census","California (State)"
"Block Group","060670079052","CA","060670079052","=""060670079052""","52241","2019-2023","2022","Census","California (State)"
"Block Group","060670079061","CA","060670079061","=""060670079061""","50884","2019-2023","2022","Census","California (State)"
"Block Group","060670079062","CA","060670079062","=""060670079062""","35480","2019-2023","2022","Census","California (State)"
"Block Group","060670080051","CA","060670080051","=""060670080051""","72363","2019-2023","2022","Census","California (State)"
"Block Group","060670080052","CA","060670080052","=""060670080052""","73400","2019-2023","2022","Census","California (State)"
"Block Group","060670080053","CA","060670080053","=""060670080053""","56714","2019-2023","2022","Census","California (State)"
"Block Group","060670080061","CA","060670080061","=""060670080061""","66194","2019-2023","2022","Census","California (State)"
"Block Group","060670080062","CA","060670080062","=""060670080062""","87606","2019-2023","2022","Census","California (State)"
"Block Group","060670080063","CA","060670080063","=""060670080063""","60764","2019-2023","2022","Census","California (State)"
"Block Group","060670080064","CA","060670080064","=""060670080064""","70560","2019-2023","2022","Census","California (State)"
"Block Group","060670080071","CA","060670080071","=""060670080071""","60768","2019-2023","2022","Census","California (State)"
"Block Group","060670080072","CA","060670080072","=""060670080072""","38484","2019-2023","2022","Census","California (State)"
"Block Group","060670080081","CA","060670080081","=""060670080081""","60943","2019-2023","2022","Census","California (State)"
"Block Group","060670080082","CA","060670080082","=""060670080082""","56550","2019-2023","2022","Census","California (State)"
"Block Group","060670080083","CA","060670080083","=""060670080083""","46200","2019-2023","2022","Census","California (State)"
"Block Group","060670080091","CA","060670080091","=""060670080091""","81084","2019-2023","2022","Census","California (State)"
"Block Group","060670080092","CA","060670080092","=""060670080092""","57136","2019-2023","2022","Census","California (State)"
"Block Group","060670080093","CA","060670080093","=""060670080093""","57449","2019-2023","2022","Census","California (State)"
"Block Group","060670080094","CA","060670080094","=""060670080094""","65401","2019-2023","2022","Census","California (State)"
"Block Group","060670080101","CA","060670080101","=""060670080101""","86475","2019-2023","2022","Census","California (State)"
"Block Group","060670080102","CA","060670080102","=""060670080102""","43464","2019-2023","2022","Census","California (State)"
"Block Group","060670080103","CA","060670080103","=""060670080103""","47978","2019-2023","2022","Census","California (State)"
"Block Group","060670080104","CA","060670080104","=""060670080104""","59719","2019-2023","2022","Census","California (State)"
"Block Group","060670081111","CA","060670081111","=""060670081111""","36989","2019-2023","2022","Census","California (State)"
"Block Group","060670081112","CA","060670081112","=""060670081112""","49249","2019-2023","2022","Census","California (State)"
"Block Group","060670081113","CA","060670081113","=""060670081113""","43582","2019-2023","2022","Census","California (State)"
"Block Group","060670081114","CA","060670081114","=""060670081114""","31675","2019-2023","2022","Census","California (State)"
"Block Group","060670081131","CA","060670081131","=""060670081131""","32784","2019-2023","2022","Census","California (State)"
"Block Group","060670081132","CA","060670081132","=""060670081132""","29673","2019-2023","2022","Census","California (State)"
"Block Group","060670081171","CA","060670081171","=""060670081171""","37822","2019-2023","2022","Census","California (State)"
"Block Group","060670081172","CA","060670081172","=""060670081172""","32196","2019-2023","2022","Census","California (State)"
"Block Group","060670081191","CA","060670081191","=""060670081191""","33293","2019-2023","2022","Census","California (State)"
"Block Group","060670081192","CA","060670081192","=""060670081192""","34949","2019-2023","2022","Census","California (State)"
"Block Group","060670081193","CA","060670081193","=""060670081193""","28569","2019-2023","2022","Census","California (State)"
"Block Group","060670081194","CA","060670081194","=""060670081194""","34007","2019-2023","2022","Census","California (State)"
"Block Group","060670081195","CA","060670081195","=""060670081195""","42314","2019-2023","2022","Census","California (State)"
"Block Group","060670081201","CA","060670081201","=""060670081201""","33723","2019-2023","2022","Census","California (State)"
"Block Group","060670081202","CA","060670081202","=""060670081202""","37029","2019-2023","2022","Census","California (State)"
"Block Group","060670081203","CA","060670081203","=""060670081203""","44182","2019-2023","2022","Census","California (State)"
"Block Group","060670081221","CA","060670081221","=""060670081221""","46517","2019-2023","2022","Census","California (State)"
"Block Group","060670081222","CA","060670081222","=""060670081222""","59099","2019-2023","2022","Census","California (State)"
"Block Group","060670081223","CA","060670081223","=""060670081223""","32355","2019-2023","2022","Census","California (State)"
"Block Group","060670081241","CA","060670081241","=""060670081241""","42774","2019-2023","2022","Census","California (State)"
"Block Group","060670081242","CA","060670081242","=""060670081242""","43962","2019-2023","2022","Census","California (State)"
"Block Group","060670081251","CA","060670081251","=""060670081251""","39878","2019-2023","2022","Census","California (State)"
"Block Group","060670081252","CA","060670081252","=""060670081252""","25761","2019-2023","2022","Census","California (State)"
"Block Group","060670081253","CA","060670081253","=""060670081253""","44000","2019-2023","2022","Census","California (State)"
"Block Group","060670081271","CA","060670081271","=""060670081271""","40734","2019-2023","2022","Census","California (State)"
"Block Group","060670081272","CA","060670081272","=""060670081272""","32127","2019-2023","2022","Census","California (State)"
"Block Group","060670081281","CA","060670081281","=""060670081281""","34244","2019-2023","2022","Census","California (State)"
"Block Group","060670081282","CA","060670081282","=""060670081282""","34951","2019-2023","2022","Census","California (State)"
"Block Group","060670081291","CA","060670081291","=""060670081291""","51436","2019-2023","2022","Census","California (State)"
"Block Group","060670081292","CA","060670081292","=""060670081292""","25739","2019-2023","2022","Census","California (State)"
"Block Group","060670081301","CA","060670081301","=""060670081301""","30601","2019-2023","2022","Census","California (State)"
"Block Group","060670081302","CA","060670081302","=""060670081302""","32318","2019-2023","2022","Census","California (State)"
"Block Group","060670081303","CA","060670081303","=""060670081303""","29332","2019-2023","2022","Census","California (State)"
"Block Group","060670081311","CA","060670081311","=""060670081311""","23391","2019-2023","2022","Census","California (State)"
"Block Group","060670081312","CA","060670081312","=""060670081312""","68411","2019-2023","2022","Census","California (State)"
"Block Group","060670081313","CA","060670081313","=""060670081313""","36643","2019-2023","2022","Census","California (State)"
