"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","National Walkability Index","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","natwalkind","TimeFrame","GeoVintage","Source","Location"
"Block Group","060014024001","CA","060014024001","=""060014024001""","13.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014024002","CA","060014024002","=""060014024002""","14.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014025001","CA","060014025001","=""060014025001""","15.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014025002","CA","060014025002","=""060014025002""","13.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014026001","CA","060014026001","=""060014026001""","16.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014027001","CA","060014027001","=""060014027001""","15.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014027002","CA","060014027002","=""060014027002""","16.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014028001","CA","060014028001","=""060014028001""","18.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014028002","CA","060014028002","=""060014028002""","19.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014029001","CA","060014029001","=""060014029001""","17.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014030001","CA","060014030001","=""060014030001""","16.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014030002","CA","060014030002","=""060014030002""","16.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014031001","CA","060014031001","=""060014031001""","19.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014033001","CA","060014033001","=""060014033001""","19.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014033002","CA","060014033002","=""060014033002""","19.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014034001","CA","060014034001","=""060014034001""","16.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014034002","CA","060014034002","=""060014034002""","13.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014034003","CA","060014034003","=""060014034003""","8.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014034004","CA","060014034004","=""060014034004""","11.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014035011","CA","060014035011","=""060014035011""","18.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014035012","CA","060014035012","=""060014035012""","15.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014035013","CA","060014035013","=""060014035013""","17.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014035021","CA","060014035021","=""060014035021""","13.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014035022","CA","060014035022","=""060014035022""","13.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014036001","CA","060014036001","=""060014036001""","14.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014036002","CA","060014036002","=""060014036002""","11.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014036003","CA","060014036003","=""060014036003""","12.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014037011","CA","060014037011","=""060014037011""","14.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014037012","CA","060014037012","=""060014037012""","13.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014037021","CA","060014037021","=""060014037021""","18.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014037022","CA","060014037022","=""060014037022""","16.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014038001","CA","060014038001","=""060014038001""","13.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014038002","CA","060014038002","=""060014038002""","14.50","2021","2010","EPA Smart Location Database","California (State)"
