"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Distance to Transit","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d4a","TimeFrame","GeoVintage","Source","Location"
"Block Group","040190044301","AZ","040190044301","=""040190044301""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190044302","AZ","040190044302","=""040190044302""","1121.18","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190044311","AZ","040190044311","=""040190044311""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190044312","AZ","040190044312","=""040190044312""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045041","AZ","040190045041","=""040190045041""","366.13","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045042","AZ","040190045042","=""040190045042""","604.85","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045043","AZ","040190045043","=""040190045043""","768.46","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045044","AZ","040190045044","=""040190045044""","1093.01","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045045","AZ","040190045045","=""040190045045""","575.34","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045051","AZ","040190045051","=""040190045051""","457.32","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045052","AZ","040190045052","=""040190045052""","143.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045053","AZ","040190045053","=""040190045053""","777.85","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045061","AZ","040190045061","=""040190045061""","375.51","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045062","AZ","040190045062","=""040190045062""","936.10","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045063","AZ","040190045063","=""040190045063""","596.80","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045081","AZ","040190045081","=""040190045081""","468.05","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045082","AZ","040190045082","=""040190045082""","700.06","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045083","AZ","040190045083","=""040190045083""","564.61","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045101","AZ","040190045101","=""040190045101""","564.61","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045102","AZ","040190045102","=""040190045102""","236.04","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045111","AZ","040190045111","=""040190045111""","785.90","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045112","AZ","040190045112","=""040190045112""","378.20","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045113","AZ","040190045113","=""040190045113""","53.64","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045121","AZ","040190045121","=""040190045121""","93.88","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045122","AZ","040190045122","=""040190045122""","262.86","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045123","AZ","040190045123","=""040190045123""","654.47","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045131","AZ","040190045131","=""040190045131""","226.65","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045132","AZ","040190045132","=""040190045132""","696.04","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190045133","AZ","040190045133","=""040190045133""","418.43","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046101","AZ","040190046101","=""040190046101""","745.66","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046102","AZ","040190046102","=""040190046102""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046103","AZ","040190046103","=""040190046103""","710.79","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046131","AZ","040190046131","=""040190046131""","744.32","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046132","AZ","040190046132","=""040190046132""","789.92","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046133","AZ","040190046133","=""040190046133""","693.36","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046141","AZ","040190046141","=""040190046141""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046142","AZ","040190046142","=""040190046142""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046151","AZ","040190046151","=""040190046151""","1054.12","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046152","AZ","040190046152","=""040190046152""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046161","AZ","040190046161","=""040190046161""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046171","AZ","040190046171","=""040190046171""","1143.98","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046172","AZ","040190046172","=""040190046172""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046181","AZ","040190046181","=""040190046181""","337.96","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046182","AZ","040190046182","=""040190046182""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046191","AZ","040190046191","=""040190046191""","446.59","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046192","AZ","040190046192","=""040190046192""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046201","AZ","040190046201","=""040190046201""","351.37","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046202","AZ","040190046202","=""040190046202""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046211","AZ","040190046211","=""040190046211""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046221","AZ","040190046221","=""040190046221""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046222","AZ","040190046222","=""040190046222""","572.66","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046231","AZ","040190046231","=""040190046231""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046232","AZ","040190046232","=""040190046232""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046241","AZ","040190046241","=""040190046241""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046242","AZ","040190046242","=""040190046242""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046243","AZ","040190046243","=""040190046243""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046251","AZ","040190046251","=""040190046251""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046252","AZ","040190046252","=""040190046252""","773.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046261","AZ","040190046261","=""040190046261""","500.24","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046262","AZ","040190046262","=""040190046262""","569.98","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046271","AZ","040190046271","=""040190046271""","970.97","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046272","AZ","040190046272","=""040190046272""","940.13","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046281","AZ","040190046281","=""040190046281""","453.30","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046282","AZ","040190046282","=""040190046282""","1119.84","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046301","AZ","040190046301","=""040190046301""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046311","AZ","040190046311","=""040190046311""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046312","AZ","040190046312","=""040190046312""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046321","AZ","040190046321","=""040190046321""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046322","AZ","040190046322","=""040190046322""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046331","AZ","040190046331","=""040190046331""","902.57","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046332","AZ","040190046332","=""040190046332""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046341","AZ","040190046341","=""040190046341""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046351","AZ","040190046351","=""040190046351""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046352","AZ","040190046352","=""040190046352""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046361","AZ","040190046361","=""040190046361""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046362","AZ","040190046362","=""040190046362""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046363","AZ","040190046363","=""040190046363""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046364","AZ","040190046364","=""040190046364""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046381","AZ","040190046381","=""040190046381""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046391","AZ","040190046391","=""040190046391""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046401","AZ","040190046401","=""040190046401""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046411","AZ","040190046411","=""040190046411""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046421","AZ","040190046421","=""040190046421""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046431","AZ","040190046431","=""040190046431""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046432","AZ","040190046432","=""040190046432""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046441","AZ","040190046441","=""040190046441""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046451","AZ","040190046451","=""040190046451""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046452","AZ","040190046452","=""040190046452""","830.15","2021","2010","EPA Smart Location Database","Arizona (State)"
