"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent of People Who Drove to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","040019705011","AZ","040019705011","=""040019705011""","100.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705012","AZ","040019705012","=""040019705012""","96.72","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705013","AZ","040019705013","=""040019705013""","87.50","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705014","AZ","040019705014","=""040019705014""","97.24","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705021","AZ","040019705021","=""040019705021""","92.31","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705022","AZ","040019705022","=""040019705022""","96.50","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019705023","AZ","040019705023","=""040019705023""","79.45","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030001011","AZ","040030001011","=""040030001011""","85.71","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030001021","AZ","040030001021","=""040030001021""","73.86","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002011","AZ","040030002011","=""040030002011""","95.54","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002012","AZ","040030002012","=""040030002012""","93.80","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002021","AZ","040030002021","=""040030002021""","96.10","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002022","AZ","040030002022","=""040030002022""","94.30","2019-2023","2022","Census","Arizona (State)"
"Block Group","040030002023","AZ","040030002023","=""040030002023""","91.90","2019-2023","2022","Census","Arizona (State)"
