"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within a 45-Minute Transit Commute","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5br","TimeFrame","GeoVintage","Source","Location"
"Block Group","040030006002","AZ","040030006002","=""040030006002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007001","AZ","040030007001","=""040030007001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007002","AZ","040030007002","=""040030007002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007003","AZ","040030007003","=""040030007003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007004","AZ","040030007004","=""040030007004""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008001","AZ","040030008001","=""040030008001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008002","AZ","040030008002","=""040030008002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008003","AZ","040030008003","=""040030008003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008004","AZ","040030008004","=""040030008004""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009011","AZ","040030009011","=""040030009011""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009012","AZ","040030009012","=""040030009012""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009013","AZ","040030009013","=""040030009013""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009014","AZ","040030009014","=""040030009014""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009021","AZ","040030009021","=""040030009021""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009022","AZ","040030009022","=""040030009022""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009023","AZ","040030009023","=""040030009023""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030010001","AZ","040030010001","=""040030010001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030010002","AZ","040030010002","=""040030010002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030011001","AZ","040030011001","=""040030011001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030011002","AZ","040030011002","=""040030011002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030011003","AZ","040030011003","=""040030011003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030012001","AZ","040030012001","=""040030012001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030012002","AZ","040030012002","=""040030012002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030012003","AZ","040030012003","=""040030012003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013001","AZ","040030013001","=""040030013001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013002","AZ","040030013002","=""040030013002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013003","AZ","040030013003","=""040030013003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013004","AZ","040030013004","=""040030013004""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013005","AZ","040030013005","=""040030013005""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014011","AZ","040030014011","=""040030014011""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014012","AZ","040030014012","=""040030014012""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014013","AZ","040030014013","=""040030014013""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014021","AZ","040030014021","=""040030014021""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014022","AZ","040030014022","=""040030014022""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014023","AZ","040030014023","=""040030014023""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015011","AZ","040030015011","=""040030015011""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015012","AZ","040030015012","=""040030015012""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015013","AZ","040030015013","=""040030015013""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015021","AZ","040030015021","=""040030015021""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015022","AZ","040030015022","=""040030015022""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015023","AZ","040030015023","=""040030015023""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016011","AZ","040030016011","=""040030016011""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016012","AZ","040030016012","=""040030016012""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016013","AZ","040030016013","=""040030016013""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016021","AZ","040030016021","=""040030016021""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016022","AZ","040030016022","=""040030016022""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016023","AZ","040030016023","=""040030016023""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016024","AZ","040030016024","=""040030016024""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017011","AZ","040030017011","=""040030017011""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017012","AZ","040030017012","=""040030017012""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017013","AZ","040030017013","=""040030017013""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017014","AZ","040030017014","=""040030017014""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017021","AZ","040030017021","=""040030017021""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017022","AZ","040030017022","=""040030017022""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017031","AZ","040030017031","=""040030017031""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017032","AZ","040030017032","=""040030017032""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018001","AZ","040030018001","=""040030018001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018002","AZ","040030018002","=""040030018002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018003","AZ","040030018003","=""040030018003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018004","AZ","040030018004","=""040030018004""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019001","AZ","040030019001","=""040030019001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019002","AZ","040030019002","=""040030019002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019003","AZ","040030019003","=""040030019003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019004","AZ","040030019004","=""040030019004""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020011","AZ","040030020011","=""040030020011""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020012","AZ","040030020012","=""040030020012""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020013","AZ","040030020013","=""040030020013""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020021","AZ","040030020021","=""040030020021""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020022","AZ","040030020022","=""040030020022""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020023","AZ","040030020023","=""040030020023""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030021001","AZ","040030021001","=""040030021001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030021002","AZ","040030021002","=""040030021002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030021003","AZ","040030021003","=""040030021003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050001001","AZ","040050001001","=""040050001001""","48","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050001002","AZ","040050001002","=""040050001002""","17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050001003","AZ","040050001003","=""040050001003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050002001","AZ","040050002001","=""040050002001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050002002","AZ","040050002002","=""040050002002""","1636","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003001","AZ","040050003001","=""040050003001""","8492","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003002","AZ","040050003002","=""040050003002""","7120","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003003","AZ","040050003003","=""040050003003""","7862","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003004","AZ","040050003004","=""040050003004""","12803","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004001","AZ","040050004001","=""040050004001""","62","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004002","AZ","040050004002","=""040050004002""","8748","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004003","AZ","040050004003","=""040050004003""","7893","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004004","AZ","040050004004","=""040050004004""","2718","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004005","AZ","040050004005","=""040050004005""","776","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005001","AZ","040050005001","=""040050005001""","4773","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005002","AZ","040050005002","=""040050005002""","2428","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005003","AZ","040050005003","=""040050005003""","4447","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005004","AZ","040050005004","=""040050005004""","4096","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005005","AZ","040050005005","=""040050005005""","5450","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006001","AZ","040050006001","=""040050006001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006002","AZ","040050006002","=""040050006002""","155","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006003","AZ","040050006003","=""040050006003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006004","AZ","040050006004","=""040050006004""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050007001","AZ","040050007001","=""040050007001""","8818","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050007002","AZ","040050007002","=""040050007002""","12","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050008001","AZ","040050008001","=""040050008001""","16141","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050008002","AZ","040050008002","=""040050008002""","15731","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050008003","AZ","040050008003","=""040050008003""","15030","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050009001","AZ","040050009001","=""040050009001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050009002","AZ","040050009002","=""040050009002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050009003","AZ","040050009003","=""040050009003""","17439","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050010001","AZ","040050010001","=""040050010001""","18405","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050010002","AZ","040050010002","=""040050010002""","7511","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050010003","AZ","040050010003","=""040050010003""","14531","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011011","AZ","040050011011","=""040050011011""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011012","AZ","040050011012","=""040050011012""","906","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011013","AZ","040050011013","=""040050011013""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011021","AZ","040050011021","=""040050011021""","3225","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011022","AZ","040050011022","=""040050011022""","2070","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011023","AZ","040050011023","=""040050011023""","16692","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011024","AZ","040050011024","=""040050011024""","10832","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050012001","AZ","040050012001","=""040050012001""","17297","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050012002","AZ","040050012002","=""040050012002""","6607","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013011","AZ","040050013011","=""040050013011""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013012","AZ","040050013012","=""040050013012""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013013","AZ","040050013013","=""040050013013""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013021","AZ","040050013021","=""040050013021""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013022","AZ","040050013022","=""040050013022""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013023","AZ","040050013023","=""040050013023""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050015001","AZ","040050015001","=""040050015001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050015002","AZ","040050015002","=""040050015002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050015003","AZ","040050015003","=""040050015003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050015004","AZ","040050015004","=""040050015004""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050016001","AZ","040050016001","=""040050016001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050016002","AZ","040050016002","=""040050016002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050016003","AZ","040050016003","=""040050016003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050017001","AZ","040050017001","=""040050017001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050017002","AZ","040050017002","=""040050017002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050017003","AZ","040050017003","=""040050017003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050017004","AZ","040050017004","=""040050017004""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050020001","AZ","040050020001","=""040050020001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
