"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Block Group","040030001021","AZ","040030001021","=""040030001021""","1.30","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002011","AZ","040030002011","=""040030002011""","9.38","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002012","AZ","040030002012","=""040030002012""","11.17","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002021","AZ","040030002021","=""040030002021""","911.05","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002022","AZ","040030002022","=""040030002022""","2061.39","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002023","AZ","040030002023","=""040030002023""","36.75","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002024","AZ","040030002024","=""040030002024""","45.16","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002031","AZ","040030002031","=""040030002031""","3.47","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002032","AZ","040030002032","=""040030002032""","15.05","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002033","AZ","040030002033","=""040030002033""","32.81","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003011","AZ","040030003011","=""040030003011""","1283.17","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003012","AZ","040030003012","=""040030003012""","271.78","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003013","AZ","040030003013","=""040030003013""","926.52","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003014","AZ","040030003014","=""040030003014""","505.52","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003031","AZ","040030003031","=""040030003031""","1.46","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003032","AZ","040030003032","=""040030003032""","248.86","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003033","AZ","040030003033","=""040030003033""","42.72","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003041","AZ","040030003041","=""040030003041""","13.84","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003042","AZ","040030003042","=""040030003042""","16.06","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003051","AZ","040030003051","=""040030003051""","11.10","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003052","AZ","040030003052","=""040030003052""","18.06","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003053","AZ","040030003053","=""040030003053""","58.63","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030004001","AZ","040030004001","=""040030004001""","2.78","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030004002","AZ","040030004002","=""040030004002""","109.93","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030005011","AZ","040030005011","=""040030005011""","0.97","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030005012","AZ","040030005012","=""040030005012""","7.55","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030005021","AZ","040030005021","=""040030005021""","5.56","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030005031","AZ","040030005031","=""040030005031""","57.04","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030006001","AZ","040030006001","=""040030006001""","7.79","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030006002","AZ","040030006002","=""040030006002""","1544.39","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030007001","AZ","040030007001","=""040030007001""","1221.26","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030007002","AZ","040030007002","=""040030007002""","85.85","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030007003","AZ","040030007003","=""040030007003""","3244.56","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030007004","AZ","040030007004","=""040030007004""","1009.24","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030008001","AZ","040030008001","=""040030008001""","207.82","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030008002","AZ","040030008002","=""040030008002""","2640.00","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030008003","AZ","040030008003","=""040030008003""","2262.22","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030008004","AZ","040030008004","=""040030008004""","2161.06","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030009011","AZ","040030009011","=""040030009011""","2134.72","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030009012","AZ","040030009012","=""040030009012""","5920.35","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030009013","AZ","040030009013","=""040030009013""","2064.88","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030009014","AZ","040030009014","=""040030009014""","5988.12","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030009021","AZ","040030009021","=""040030009021""","1506.41","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030009022","AZ","040030009022","=""040030009022""","5571.31","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030009023","AZ","040030009023","=""040030009023""","4219.36","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030010001","AZ","040030010001","=""040030010001""","7.98","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030010002","AZ","040030010002","=""040030010002""","89.42","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030011001","AZ","040030011001","=""040030011001""","174.18","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030011002","AZ","040030011002","=""040030011002""","35.28","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030011003","AZ","040030011003","=""040030011003""","400.39","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030012001","AZ","040030012001","=""040030012001""","9.17","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030012002","AZ","040030012002","=""040030012002""","611.26","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030012003","AZ","040030012003","=""040030012003""","95.28","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030013011","AZ","040030013011","=""040030013011""","22.05","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030013012","AZ","040030013012","=""040030013012""","129.61","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030013021","AZ","040030013021","=""040030013021""","12.79","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030013022","AZ","040030013022","=""040030013022""","885.43","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030013023","AZ","040030013023","=""040030013023""","71.57","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030014011","AZ","040030014011","=""040030014011""","846.97","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030014012","AZ","040030014012","=""040030014012""","277.45","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030014013","AZ","040030014013","=""040030014013""","1.40","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030014021","AZ","040030014021","=""040030014021""","26.54","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030015011","AZ","040030015011","=""040030015011""","2680.28","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030015012","AZ","040030015012","=""040030015012""","5731.04","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030015013","AZ","040030015013","=""040030015013""","4854.30","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030015021","AZ","040030015021","=""040030015021""","5153.14","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030015022","AZ","040030015022","=""040030015022""","4870.47","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030015023","AZ","040030015023","=""040030015023""","2325.22","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030016011","AZ","040030016011","=""040030016011""","3635.94","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030016012","AZ","040030016012","=""040030016012""","5504.36","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030016013","AZ","040030016013","=""040030016013""","3467.71","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030016021","AZ","040030016021","=""040030016021""","989.68","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030016022","AZ","040030016022","=""040030016022""","4813.01","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017011","AZ","040030017011","=""040030017011""","1509.09","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017012","AZ","040030017012","=""040030017012""","4094.76","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017013","AZ","040030017013","=""040030017013""","3934.66","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017014","AZ","040030017014","=""040030017014""","5921.99","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017021","AZ","040030017021","=""040030017021""","1134.41","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017022","AZ","040030017022","=""040030017022""","3019.40","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017023","AZ","040030017023","=""040030017023""","43.26","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017031","AZ","040030017031","=""040030017031""","89.49","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017032","AZ","040030017032","=""040030017032""","3048.80","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017033","AZ","040030017033","=""040030017033""","5819.38","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030018011","AZ","040030018011","=""040030018011""","3473.69","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030018012","AZ","040030018012","=""040030018012""","853.63","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030018013","AZ","040030018013","=""040030018013""","2861.52","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030018014","AZ","040030018014","=""040030018014""","1864.59","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030018021","AZ","040030018021","=""040030018021""","1881.03","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030018022","AZ","040030018022","=""040030018022""","1866.36","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030019001","AZ","040030019001","=""040030019001""","2964.92","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030019002","AZ","040030019002","=""040030019002""","482.78","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030019003","AZ","040030019003","=""040030019003""","717.58","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030019004","AZ","040030019004","=""040030019004""","3094.18","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030020011","AZ","040030020011","=""040030020011""","168.20","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030020012","AZ","040030020012","=""040030020012""","923.70","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030020013","AZ","040030020013","=""040030020013""","501.80","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030020014","AZ","040030020014","=""040030020014""","1473.12","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030020021","AZ","040030020021","=""040030020021""","183.02","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030020022","AZ","040030020022","=""040030020022""","173.84","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030020023","AZ","040030020023","=""040030020023""","50.29","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030021001","AZ","040030021001","=""040030021001""","24.09","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030021002","AZ","040030021002","=""040030021002""","110.86","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030021003","AZ","040030021003","=""040030021003""","4.82","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030021004","AZ","040030021004","=""040030021004""","33.84","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050001001","AZ","040050001001","=""040050001001""","4223.17","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050001002","AZ","040050001002","=""040050001002""","763.70","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050002001","AZ","040050002001","=""040050002001""","1819.83","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050002002","AZ","040050002002","=""040050002002""","734.87","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050003011","AZ","040050003011","=""040050003011""","2368.67","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050003012","AZ","040050003012","=""040050003012""","4400.81","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050003013","AZ","040050003013","=""040050003013""","6754.35","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050003021","AZ","040050003021","=""040050003021""","8384.20","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050003022","AZ","040050003022","=""040050003022""","2696.53","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050004001","AZ","040050004001","=""040050004001""","5161.87","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050004002","AZ","040050004002","=""040050004002""","5921.51","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050004003","AZ","040050004003","=""040050004003""","5288.47","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050004004","AZ","040050004004","=""040050004004""","2767.44","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050004005","AZ","040050004005","=""040050004005""","3229.61","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050005001","AZ","040050005001","=""040050005001""","180.00","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050005002","AZ","040050005002","=""040050005002""","10171.73","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050005003","AZ","040050005003","=""040050005003""","4498.26","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050005004","AZ","040050005004","=""040050005004""","4609.05","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050005005","AZ","040050005005","=""040050005005""","1543.30","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050006011","AZ","040050006011","=""040050006011""","1667.61","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050006012","AZ","040050006012","=""040050006012""","1992.70","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050006021","AZ","040050006021","=""040050006021""","110.99","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050006022","AZ","040050006022","=""040050006022""","248.78","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050007001","AZ","040050007001","=""040050007001""","839.88","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050007002","AZ","040050007002","=""040050007002""","6365.43","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050007003","AZ","040050007003","=""040050007003""","2869.90","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050008001","AZ","040050008001","=""040050008001""","7490.64","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050008002","AZ","040050008002","=""040050008002""","7065.08","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050008003","AZ","040050008003","=""040050008003""","2965.93","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050008004","AZ","040050008004","=""040050008004""","3812.74","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050008005","AZ","040050008005","=""040050008005""","318.26","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050009011","AZ","040050009011","=""040050009011""","4469.97","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050009012","AZ","040050009012","=""040050009012""","812.83","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050009021","AZ","040050009021","=""040050009021""","56.36","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050009022","AZ","040050009022","=""040050009022""","3483.38","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050009023","AZ","040050009023","=""040050009023""","3373.63","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050010001","AZ","040050010001","=""040050010001""","15977.60","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050010002","AZ","040050010002","=""040050010002""","8380.41","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050010003","AZ","040050010003","=""040050010003""","15270.43","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011011","AZ","040050011011","=""040050011011""","912.70","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011012","AZ","040050011012","=""040050011012""","4780.96","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011013","AZ","040050011013","=""040050011013""","3472.58","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011031","AZ","040050011031","=""040050011031""","8483.55","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011032","AZ","040050011032","=""040050011032""","2043.17","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011033","AZ","040050011033","=""040050011033""","9451.16","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011041","AZ","040050011041","=""040050011041""","6047.83","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011042","AZ","040050011042","=""040050011042""","2547.93","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011043","AZ","040050011043","=""040050011043""","1636.37","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011044","AZ","040050011044","=""040050011044""","8173.42","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050012011","AZ","040050012011","=""040050012011""","2595.40","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050012012","AZ","040050012012","=""040050012012""","250.90","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050013011","AZ","040050013011","=""040050013011""","292.00","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050013012","AZ","040050013012","=""040050013012""","281.66","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050013013","AZ","040050013013","=""040050013013""","184.01","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050013021","AZ","040050013021","=""040050013021""","68.76","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050013022","AZ","040050013022","=""040050013022""","145.56","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050013023","AZ","040050013023","=""040050013023""","3.80","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050015001","AZ","040050015001","=""040050015001""","95.82","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050015002","AZ","040050015002","=""040050015002""","7.52","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050015003","AZ","040050015003","=""040050015003""","0.33","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050015004","AZ","040050015004","=""040050015004""","1.06","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050016011","AZ","040050016011","=""040050016011""","87.73","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050016012","AZ","040050016012","=""040050016012""","100.10","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050016021","AZ","040050016021","=""040050016021""","254.04","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050016022","AZ","040050016022","=""040050016022""","25.24","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050017001","AZ","040050017001","=""040050017001""","78.56","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050017002","AZ","040050017002","=""040050017002""","38.93","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050017003","AZ","040050017003","=""040050017003""","17.31","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050017004","AZ","040050017004","=""040050017004""","14.80","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050020001","AZ","040050020001","=""040050020001""","21.46","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050020002","AZ","040050020002","=""040050020002""","0.25","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050021011","AZ","040050021011","=""040050021011""","189.99","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050021012","AZ","040050021012","=""040050021012""","4839.31","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050021013","AZ","040050021013","=""040050021013""","7144.25","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050021014","AZ","040050021014","=""040050021014""","1831.32","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050021021","AZ","040050021021","=""040050021021""","215.72","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050021022","AZ","040050021022","=""040050021022""","1047.45","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050021023","AZ","040050021023","=""040050021023""","226.13","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050022011","AZ","040050022011","=""040050022011""","4.12","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050022012","AZ","040050022012","=""040050022012""","0.52","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050022013","AZ","040050022013","=""040050022013""","1.88","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050022014","AZ","040050022014","=""040050022014""","30.61","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050022021","AZ","040050022021","=""040050022021""","129.31","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050022022","AZ","040050022022","=""040050022022""","347.73","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050022023","AZ","040050022023","=""040050022023""","79.94","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050022024","AZ","040050022024","=""040050022024""","4391.99","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050023011","AZ","040050023011","=""040050023011""","62.71","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050023012","AZ","040050023012","=""040050023012""","12.62","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050023013","AZ","040050023013","=""040050023013""","0.20","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050023021","AZ","040050023021","=""040050023021""","7.60","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050023022","AZ","040050023022","=""040050023022""","4.08","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050023023","AZ","040050023023","=""040050023023""","11.24","2019-2023","2021","Census","Arizona (State)"
"Block Group","040059422011","AZ","040059422011","=""040059422011""","6.79","2019-2023","2021","Census","Arizona (State)"
"Block Group","040059422012","AZ","040059422012","=""040059422012""","1.67","2019-2023","2021","Census","Arizona (State)"
"Block Group","040059422013","AZ","040059422013","=""040059422013""","5.47","2019-2023","2021","Census","Arizona (State)"
"Block Group","040059422021","AZ","040059422021","=""040059422021""","1.06","2019-2023","2021","Census","Arizona (State)"
