"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Road Network Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d3a","TimeFrame","GeoVintage","Source","Location"
"Block Group","040019705021","AZ","040019705021","=""040019705021""","2.41","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705022","AZ","040019705022","=""040019705022""","1.54","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705023","AZ","040019705023","=""040019705023""","1.15","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030001001","AZ","040030001001","=""040030001001""","0.72","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030001002","AZ","040030001002","=""040030001002""","0.86","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002011","AZ","040030002011","=""040030002011""","1.31","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002012","AZ","040030002012","=""040030002012""","0.85","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002021","AZ","040030002021","=""040030002021""","15.80","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002022","AZ","040030002022","=""040030002022""","26.58","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002023","AZ","040030002023","=""040030002023""","1.95","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002024","AZ","040030002024","=""040030002024""","1.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002031","AZ","040030002031","=""040030002031""","0.99","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002032","AZ","040030002032","=""040030002032""","5.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002033","AZ","040030002033","=""040030002033""","2.18","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003011","AZ","040030003011","=""040030003011""","12.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003012","AZ","040030003012","=""040030003012""","5.14","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003013","AZ","040030003013","=""040030003013""","14.70","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003014","AZ","040030003014","=""040030003014""","7.47","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003021","AZ","040030003021","=""040030003021""","1.45","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003022","AZ","040030003022","=""040030003022""","1.07","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003023","AZ","040030003023","=""040030003023""","2.80","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003024","AZ","040030003024","=""040030003024""","1.04","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003031","AZ","040030003031","=""040030003031""","0.48","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003032","AZ","040030003032","=""040030003032""","5.51","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003033","AZ","040030003033","=""040030003033""","2.32","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030004001","AZ","040030004001","=""040030004001""","0.74","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030004002","AZ","040030004002","=""040030004002""","3.82","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030005001","AZ","040030005001","=""040030005001""","0.51","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030005002","AZ","040030005002","=""040030005002""","1.37","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030005003","AZ","040030005003","=""040030005003""","1.01","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030005004","AZ","040030005004","=""040030005004""","0.85","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030006001","AZ","040030006001","=""040030006001""","1.41","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030006002","AZ","040030006002","=""040030006002""","12.63","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007001","AZ","040030007001","=""040030007001""","7.31","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007002","AZ","040030007002","=""040030007002""","1.08","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007003","AZ","040030007003","=""040030007003""","22.47","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007004","AZ","040030007004","=""040030007004""","7.12","2021","2010","EPA Smart Location Database","Arizona (State)"
