"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","National Walkability Index","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","natwalkind","TimeFrame","GeoVintage","Source","Location"
"Block Group","040019705021","AZ","040019705021","=""040019705021""","6.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705022","AZ","040019705022","=""040019705022""","5.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705023","AZ","040019705023","=""040019705023""","1.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030001001","AZ","040030001001","=""040030001001""","4.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030001002","AZ","040030001002","=""040030001002""","4.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002011","AZ","040030002011","=""040030002011""","3.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002012","AZ","040030002012","=""040030002012""","4.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002021","AZ","040030002021","=""040030002021""","10.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002022","AZ","040030002022","=""040030002022""","12.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002023","AZ","040030002023","=""040030002023""","7.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002024","AZ","040030002024","=""040030002024""","5.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002031","AZ","040030002031","=""040030002031""","4.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002032","AZ","040030002032","=""040030002032""","4.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002033","AZ","040030002033","=""040030002033""","5.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003011","AZ","040030003011","=""040030003011""","6.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003012","AZ","040030003012","=""040030003012""","7.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003013","AZ","040030003013","=""040030003013""","9.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003014","AZ","040030003014","=""040030003014""","5.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003021","AZ","040030003021","=""040030003021""","3.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003022","AZ","040030003022","=""040030003022""","3.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003023","AZ","040030003023","=""040030003023""","3.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003024","AZ","040030003024","=""040030003024""","2.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003031","AZ","040030003031","=""040030003031""","5.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003032","AZ","040030003032","=""040030003032""","5.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003033","AZ","040030003033","=""040030003033""","5.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030004001","AZ","040030004001","=""040030004001""","4.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030004002","AZ","040030004002","=""040030004002""","7.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030005001","AZ","040030005001","=""040030005001""","3.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030005002","AZ","040030005002","=""040030005002""","4.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030005003","AZ","040030005003","=""040030005003""","2.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030005004","AZ","040030005004","=""040030005004""","4.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030006001","AZ","040030006001","=""040030006001""","6.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030006002","AZ","040030006002","=""040030006002""","7.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007001","AZ","040030007001","=""040030007001""","4.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007002","AZ","040030007002","=""040030007002""","2.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007003","AZ","040030007003","=""040030007003""","7.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007004","AZ","040030007004","=""040030007004""","3.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008001","AZ","040030008001","=""040030008001""","4.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008002","AZ","040030008002","=""040030008002""","10.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008003","AZ","040030008003","=""040030008003""","6.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008004","AZ","040030008004","=""040030008004""","7.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009011","AZ","040030009011","=""040030009011""","13.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009012","AZ","040030009012","=""040030009012""","7.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009013","AZ","040030009013","=""040030009013""","9.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009014","AZ","040030009014","=""040030009014""","6.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009021","AZ","040030009021","=""040030009021""","9.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009022","AZ","040030009022","=""040030009022""","7.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009023","AZ","040030009023","=""040030009023""","9.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030010001","AZ","040030010001","=""040030010001""","2.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030010002","AZ","040030010002","=""040030010002""","6.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030011001","AZ","040030011001","=""040030011001""","6.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030011002","AZ","040030011002","=""040030011002""","6.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030011003","AZ","040030011003","=""040030011003""","5.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030012001","AZ","040030012001","=""040030012001""","2.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030012002","AZ","040030012002","=""040030012002""","8.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030012003","AZ","040030012003","=""040030012003""","4.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013001","AZ","040030013001","=""040030013001""","4.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013002","AZ","040030013002","=""040030013002""","6.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013003","AZ","040030013003","=""040030013003""","3.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013004","AZ","040030013004","=""040030013004""","3.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013005","AZ","040030013005","=""040030013005""","2.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014011","AZ","040030014011","=""040030014011""","7.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014012","AZ","040030014012","=""040030014012""","6.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014013","AZ","040030014013","=""040030014013""","4.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014021","AZ","040030014021","=""040030014021""","4.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014022","AZ","040030014022","=""040030014022""","1.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014023","AZ","040030014023","=""040030014023""","5.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015011","AZ","040030015011","=""040030015011""","12.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015012","AZ","040030015012","=""040030015012""","8.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015013","AZ","040030015013","=""040030015013""","6.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015021","AZ","040030015021","=""040030015021""","6.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015022","AZ","040030015022","=""040030015022""","11.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015023","AZ","040030015023","=""040030015023""","8.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016011","AZ","040030016011","=""040030016011""","6.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016012","AZ","040030016012","=""040030016012""","7.83","2021","2010","EPA Smart Location Database","Arizona (State)"
